"id","reference","title","createdAt","publishedAt","updatedAt","trashed","trashedStatus","authorId","authorType","authorZipCode","QUXVlc3Rpb246MTA3 - En qui faites-vous le plus confiance pour vous faire représenter dans la société et pourquoi ?","QUXVlc3Rpb246MTA4 - En dehors des élus politiques, faut-il donner un rôle plus important aux associations et aux organisations syndicales et professionnelles ?","QUXVlc3Rpb246MTA5 - Si oui, à quel type d'associations ou d'organisations ? Et avec quel rôle ?","QUXVlc3Rpb246MTEw - Que faudrait-il faire pour renouer le lien entre les citoyens et les élus qui les représentent ?","QUXVlc3Rpb246MTEx - Le non-cumul des mandats instauré en 2017 pour les parlementaires (députés et sénateurs) est :","QUXVlc3Rpb246MTEy - Pourquoi ?","QUXVlc3Rpb246MTEz - Que faudrait-il faire pour mieux représenter les différentes sensibilités politiques ?","QUXVlc3Rpb246MTE0 - Pensez-vous qu'il serait souhaitable de réduire le nombre d'élus (hors députés et sénateurs) ?","QUXVlc3Rpb246MTE1 - Si oui, lesquels ?","QUXVlc3Rpb246MTE2 - Que pensez-vous de la participation des citoyens aux élections et comment les inciter à y participer davantage ?","QUXVlc3Rpb246MTE3 - Faut-il prendre en compte le vote blanc ?","QUXVlc3Rpb246MTE4 - Si oui, de quelle manière ?","QUXVlc3Rpb246MTE5 - Que faudrait-il faire aujourd'hui pour mieux associer les citoyens aux grandes orientations et à la décision publique ? Comment mettre en place une démocratie plus participative ?","QUXVlc3Rpb246MTIw - Faut-il faciliter le déclenchement du référendum d'initiative partagée (le RIP est organisé à l'initiative de membres du Parlement soutenu par une partie du corps électoral) qui est applicable depuis 2015 ?","QUXVlc3Rpb246MTIx - Si oui, comment ?","QUXVlc3Rpb246MTIy - Que faudrait-il faire pour consulter plus directement les citoyens sur l'utilisation de l'argent public, par l'Etat et les collectivités ?","QUXVlc3Rpb246MTIz - Quel rôle nos assemblées, dont le Sénat et le Conseil économique, social et environnemental, doivent-elles jouer pour représenter nos territoires et la société civile ?","QUXVlc3Rpb246MTI0 - Faut-il les transformer ?","QUXVlc3Rpb246MTI1 - Si oui, comment ?","QUXVlc3Rpb246MTI3 - Que proposez-vous pour renforcer les principes de la laïcité dans le rapport entre l'Etat et les religions de notre pays ?","QUXVlc3Rpb246MTI4 - Comment garantir le respect par tous de la compréhension réciproque et des valeurs intangibles de la République ?","QUXVlc3Rpb246MTI5 - Que faudrait-il faire aujourd'hui pour renforcer l'engagement citoyen dans la société ?","QUXVlc3Rpb246MTMw - Quels sont les comportements civiques qu'il faut promouvoir dans notre vie quotidienne ou collective ?","QUXVlc3Rpb246MTMx - Que faudrait-il faire pour favoriser le développement de ces comportements civiques et par quels engagements concrets chacun peut-il y participer ?","QUXVlc3Rpb246MTMy - Que faudrait-il faire pour valoriser l'engagement citoyen dans les parcours de vie, dans les relations avec l'administration et les pouvoirs publics ?","QUXVlc3Rpb246MTMz - Quelles sont les incivilités les plus pénibles dans la vie quotidienne et que faudrait-il faire pour lutter contre ces incivilités ?","QUXVlc3Rpb246MTM0 - Que peuvent et doivent faire les pouvoirs publics pour répondre aux incivilités ?","QUXVlc3Rpb246MTM1 - Quel pourrait être le rôle de chacun pour faire reculer les incivilités dans la société ?","QUXVlc3Rpb246MTM2 - Quelles sont les discriminations les plus répandues dont vous êtes témoin ou victime ?","QUXVlc3Rpb246MTM3 - Que faudrait-il faire pour lutter contre ces discriminations et construire une société plus solidaire et plus tolérante ?","QUXVlc3Rpb246MTM4 - Pensez-vous qu'il faille instaurer des contreparties aux différentes allocations de solidarité ?","QUXVlc3Rpb246MTM5 - Si oui, lesquelles ?","QUXVlc3Rpb246MTQx - Que pensez-vous de la situation de l'immigration en France aujourd'hui et de la politique migratoire ? Quelles sont, selon vous, les critères à mettre en place pour définir la politique migratoire ?","QUXVlc3Rpb246MTQy - En matière d'immigration, une fois nos obligations d'asile remplies, souhaitez-vous que nous puissions nous fixer des objectifs annuels définis par le Parlement ?","QUXVlc3Rpb246MTQz - Que proposez-vous afin de répondre à ce défi qui va durer ?","QUXVlc3Rpb246MTQ0 - Quelles sont, selon vous, les modalités d'intégration les plus efficaces et les plus justes à mettre en place aujourd'hui dans la société ?","QUXVlc3Rpb246MTQ1 - Y a-t-il d'autres points sur la démocratie et la citoyenneté sur lesquels vous souhaiteriez vous exprimer ?"
"UHJvcG9zYWw6Y2FiMzNkODItMWUyNS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-65","La maladie en France","2019-01-22 10:12:07","2019-01-22 10:12:07",,false,,"VXNlcjo0NjVhMDM0Ny0xZTI0LTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","63520","Personne","Non",,"Qu'ils soient honnêtes","Une bonne chose","Pour que ça change. Pour des idées nouvelles",,"Oui","Trop nombreux et bien souvent inutiles",,"",,,"",,,,"",,,,,,,,,,,,,"",,,,,,
"UHJvcG9zYWw6ZDEwMTY0ZjMtMWUyNS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-66","Une vision de l'avenir","2019-01-22 10:12:18","2019-01-22 10:12:18",,false,,"VXNlcjpkNTkwNWNmNi0xYzI2LTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","75020","Députés, gouvernement, président","Non","-	Les économies sur le fonctionnement de l’Etat : o	Simplification de certaines instances représentatives : 	Commune (minimum de 5.000 habitants, donc regroupement) avec 1 Maire et des adjoints > élection par les habitants de la commune •	Pour commune de 5.000 à 20.000 habitants > 1 Maire et 10 conseillers maxi •	Pour commune de 20.000 à X habitants > 1 Maire et 20 conseillers maxi 	Instances d’arrondissement (sauf Paris arrondissement = département), de communautés de commune supprimés 	Département : un conseil départemental avec un Conseiller Départemental et 30 conseillers maximum > élection par les habitants du Département. Un préfet par département 	Instances de région supprimées 	National : •	Assemblée Nationale : réduite, élection par les Français, 3 députés par département •	Sénat : supprimé •	Maintien de la Cour des Comptes, du Conseil Constitutionnel  •	Réduction massive de toutes les autres instances (Commissions….etc) o	Rémunération des élus comme des salariés, à l’heure de présence, avec un taux horaire de 30 euros, et charge patronales payés par les instances (commune, département, état pour les députés, ministre, président, préfet), avec intégration de tous les avantages en nature ou indemnités pour l’assiette de cotisation. Cotisations identiques à tous les salariés. o	Fin des privilèges à vie des Présidents o	Suppression du financement des partis, des syndicats, des associations > ils doivent vivre des cotisations de leurs adhérents  o	Les droits de « manifester » : chaque corporation (syndicat, parti politique, association de citoyens…..) dès lors qu’elle compte 50 membres déclarés (au minimum en association…), peut « manifester », avec responsabilité de déclaration préalable auprès de la préfecture (par la corporation ou la fédération de corporations), responsabilité de sécurité de la manifestation, de remboursement de toute dégradation matérielle publique ou privé, avec interdiction pendant 6 mois à/aux corporations présentes de nouvelle manifestation si dégradation matérielle publique ou privé, avec dissolution de chaque corporation ayant « manifesté » 2 fois avec dégradation matérielle publique ou privé. Suspension des droits d’accès aux réseaux sociaux pour les corporations condamnées et leurs membres.  o	La consultation citoyenne : possibilité pour une corporation ou une fédération de citoyens déclarées (association…) avec un minimum de 500.000 signatures (vérifiables) de déposer une demande de référendum populaire, dont l’organisation et la facture est pris en charge par la corporation. Les questions soumises au référendum doivent être validées par le Conseil Constitutionnel. Une ou plusieurs consultations peut avoir lieu une fois par trimestre seulement. Les résultats, avec un quorum de 50 % des Français électeurs, sont dès lors transmis à l’Assemblée Nationale avec obligation pour cette dernière d’étudier et de voter les décisions issus de ces consultations.","o	La consultation citoyenne : possibilité pour une corporation ou une fédération de citoyens déclarées (association…) avec un minimum de 500.000 signatures (vérifiables) de déposer une demande de référendum populaire, dont l’organisation et la facture est pris en charge par la corporation. Les questions soumises au référendum doivent être validées par le Conseil Constitutionnel. Une ou plusieurs consultations peut avoir lieu une fois par trimestre seulement. Les résultats, avec un quorum de 50 % des Français électeurs, sont dès lors transmis à l’Assemblée Nationale avec obligation pour cette dernière d’étudier et de voter les décisions issus de ces consultations.","Une bonne chose","Il serait bon de réduire le nombre de députés, et supprimer le sénat","Ne rien changer à l'actuelle situation","Oui","Supprimer le Sénat et réduire le nombre de députés",,"Non",,"o	La consultation citoyenne : possibilité pour une corporation ou une fédération de citoyens déclarées (association…) avec un minimum de 500.000 signatures (vérifiables) de déposer une demande de référendum populaire, dont l’organisation et la facture est pris en charge par la corporation. Les questions soumises au référendum doivent être validées par le Conseil Constitutionnel. Une ou plusieurs consultations peut avoir lieu une fois par trimestre seulement. Les résultats, avec un quorum de 50 % des Français électeurs, sont dès lors transmis à l’Assemblée Nationale avec obligation pour cette dernière d’étudier et de voter les décisions issus de ces consultations.","Oui","o	La consultation citoyenne : possibilité pour une corporation ou une fédération de citoyens déclarées (association…) avec un minimum de 500.000 signatures (vérifiables) de déposer une demande de référendum populaire, dont l’organisation et la facture est pris en charge par la corporation. Les questions soumises au référendum doivent être validées par le Conseil Constitutionnel. Une ou plusieurs consultations peut avoir lieu une fois par trimestre seulement. Les résultats, avec un quorum de 50 % des Français électeurs, sont dès lors transmis à l’Assemblée Nationale avec obligation pour cette dernière d’étudier et de voter les décisions issus de ces consultations.","o	La consultation citoyenne : possibilité pour une corporation ou une fédération de citoyens déclarées (association…) avec un minimum de 500.000 signatures (vérifiables) de déposer une demande de référendum populaire, dont l’organisation et la facture est pris en charge par la corporation. Les questions soumises au référendum doivent être validées par le Conseil Constitutionnel. Une ou plusieurs consultations peut avoir lieu une fois par trimestre seulement. Les résultats, avec un quorum de 50 % des Français électeurs, sont dès lors transmis à l’Assemblée Nationale avec obligation pour cette dernière d’étudier et de voter les décisions issus de ces consultations.",,"Oui","-	Les économies sur le fonctionnement de l’Etat : o	Simplification de certaines instances représentatives : 	Commune (minimum de 5.000 habitants, donc regroupement) avec 1 Maire et des adjoints > élection par les habitants de la commune •	Pour commune de 5.000 à 20.000 habitants > 1 Maire et 10 conseillers maxi •	Pour commune de 20.000 à X habitants > 1 Maire et 20 conseillers maxi 	Instances d’arrondissement (sauf Paris arrondissement = département), de communautés de commune supprimés 	Département : un conseil départemental avec un Conseiller Départemental et 30 conseillers maximum > élection par les habitants du Département. Un préfet par département 	Instances de région supprimées 	National : •	Assemblée Nationale : réduite, élection par les Français, 3 députés par département •	Sénat : supprimé •	Maintien de la Cour des Comptes, du Conseil Constitutionnel  •	Réduction massive de toutes les autres instances (Commissions….etc) o	Rémunération des élus comme des salariés, à l’heure de présence, avec un taux horaire de 30 euros, et charge patronales payés par les instances (commune, département, état pour les députés, ministre, président, préfet), avec intégration de tous les avantages en nature ou indemnités pour l’assiette de cotisation. Cotisations identiques à tous les salariés. o	Fin des privilèges à vie des Présidents o	Suppression du financement des partis, des syndicats, des associations > ils doivent vivre des cotisations de leurs adhérents","Tout doit être laïc",,,,,,,"o	Les droits de « manifester » : chaque corporation (syndicat, parti politique, association de citoyens…..) dès lors qu’elle compte 50 membres déclarés (au minimum en association…), peut « manifester », avec responsabilité de déclaration préalable auprès de la préfecture (par la corporation ou la fédération de corporations), responsabilité de sécurité de la manifestation, de remboursement de toute dégradation matérielle publique ou privé, avec interdiction pendant 6 mois à/aux corporations présentes de nouvelle manifestation si dégradation matérielle publique ou privé, avec dissolution de chaque corporation ayant « manifesté » 2 fois avec dégradation matérielle publique ou privé. Suspension des droits d’accès aux réseaux sociaux pour les corporations condamnées et leurs membres.","Respect des forces de l'ordre en premier",,,"Oui",,,,,,
"UHJvcG9zYWw6ZDhhN2NlNDgtMWUyNS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-67","CUMUL DES MANDATS","2019-01-22 10:12:30","2019-01-22 10:12:30",,false,,"VXNlcjoxZTY4NGNlZS0xZTI1LTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","88800",,"",,,"Une mauvaise chose","H) Les élus : Un Député Maire ce n’est pas choquant. Je ne suis pas contre le cumul des mandats, mais opposés aux cumuls des indemnités ou rémunérations. S’il n’y avait pas cumul des indemnités ou rémunérations le cumul des mandats électifs serait réglé tout seul.",,"",,,"",,,"",,,,"",,,,,,,,,,,,,"",,,,,,
"UHJvcG9zYWw6ZWM1ZjJmYTktMWUyNS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-68","Mieux représenter et écouter les citoyens","2019-01-22 10:13:03","2019-01-22 10:13:03",,false,,"VXNlcjo1NTkzMDkyZC0xZDdkLTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","63540","Les maires des communes","Oui","Associations locales dans différents domaines: culture, sport, loisir...","Que les élus soient plus à l'écoute des citoyens et non déconnectés de la réalité","Une mauvaise chose","Un député devrait pouvoir être maire. Le maire est le mieux au courant des soucis des citoyens","Instaurer la proportionnelle aux élections","Non",,"Elle est trop faible, car les citoyens ont le sentiment de ne pas être écoutés. Faire comme en Suisse avec les référendums locaux.","Oui","Publier les nombres, pourcentages et en tenir compte dans le pourcentage de voix des élus","Référendums","Oui","Sur des questions d'ordre générales, mais sans trop multiplier les consultations","Référendums","Le Sénat ne semble être qu'une chambre d'enregistrement","Oui","Supprimer le Sénat","Inscrire ces principes dans les programmes scolaires","Instruction civique à l'école","Tenir compte des avis et votes des citoyens","Respecter l'autre","Formation","Considérer le citoyen comme étant de bonne foi","Les violences","La Justice doit condamner les auteurs d'incivilités","Elever ses enfants avec des valeurs et principes","Selon la couleur de la peau ou le nom patronymique","Inculquer des principes dans la formation reçue à l'école","Non",,"Instaurer des quotas pour limiter l'immigration","OUI","Définir des quotas et les respecter","Faire participer les étrangers aux élections municipales","Respecter les votes des Français"
"UHJvcG9zYWw6ZWNlNTM0Y2EtMWUyNS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-69","Partage du pouvoir","2019-01-22 10:13:04","2019-01-22 10:13:04",,false,,"VXNlcjpkNmYxNWI4My0xZTIzLTExZTktOTRkMi1mYTE2M2VlYjExZTE=",,"44400",,"",,,"",,,"",,,"",,"Donner aux citoyens le pouvoir de participer avec l’Etat à l’élaboration des lois, ce pouvoir étant partagé par moitié entre l’Etat et les citoyens.  L’Etat et les citoyens ont des visions opposées sur ce sujet. L’Etat estime que les lois sont affaires de spécialistes. Les citoyens estiment qu’en monopolisant le droit de voter les lois l’Etat confisque la démocratie, et les citoyens n’acceptent plus cet Etat et ses lois.  Ces deux arguments se tiennent. La seule manière de les concilier, c’est que le pouvoir ne soit confié ni à l’Etat ni aux citoyens, mais aux deux.  Dans ce but il doit être rendu possible aux citoyens de proposer de nouvelles lois, des  amendements, des abrogations, d’argumenter ces propositions, d’en débattre, et enfin de voter les lois. Dans ce vote, l’ensemble des citoyens aura alors un poids égal à celui d’une assemblée.  Ce partage du pouvoir a deux grandes vertus : 1) C’est la seule manière, pour l’Etat comme pour les citoyens, d’avoir une réelle conscience du bien commun. 2) Réinvestis dans leurs responsabilités, les citoyens participent fortement au bien commun, afin d’être eux-mêmes durablement plus heureux.  Ce sujet du pacte social serait incomplet sans évoquer le monde de l’Entreprise, où pour les mêmes raisons (vision éclairée, participation) il y aurait un progrès considérable à avoir des conseils d’administrations partagés « à moitié » entre les dirigeants et le personnel.  Les tensions du monde actuel, tant au niveau des Nations que des Entreprises, laissent penser que cette nouvelle vision des pactes sociaux, basée sur un juste partage du pouvoir, est une évolution nécessaire non pas seulement pour la France, mais pour l’humanité entière.","",,,,"",,,,,,,,,,,,,"",,,,,,
"UHJvcG9zYWw6ZjQyNmQ3MWEtMWUyNS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-70","RIC","2019-01-22 10:13:17","2019-01-22 10:13:17",,false,,"VXNlcjoyYTExNzJkMC0xOWQwLTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","03400","Personne","Non",,"Arretez de prendre les citoyens pour des gogos","Une bonne chose","Pour pouvoir s’inves au mieux dans la mission que les électeurs leur ont confié","Proportionelle","Non",,"Chacun fait ce qu’il veut","Oui","En cas de majorité de vote blanc réorganisation des élections","RIC toutes matières","Oui","Baisser le nombre de signatures d’elus nécessaire à 80 et 500 000 signatures de citoyens auant une carte d’electeur","Un site internet dédié avec une réelle prise en compte du resultat de la consultation","Continuer dans leur rôle mais ne plus oublier qu’ils sont les elus des citoyens devant servir leur intérêt et pas les elus de l’état en suivant aveuglement les directives","Non",,"—","—","—","—","—","—","—","—","—","—","—","Non",,"—","—","—","—","—"
"UHJvcG9zYWw6MTdiZGU3ODUtMWUyNi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-71","Réduire l'écart entre salaires et retraites","2019-01-22 10:14:16","2019-01-22 10:14:16",,false,,"VXNlcjplZmE1NTgxZS0xZTI0LTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","38290","La différence lors d'augmentations en pourcentages augmente de plus en plus. Les plus hauts revenus ""creusent l'écart"" depuis des décennies avec les plus bas salaires ou pensions. Des augmentations en valeur absolue maintiendraient l'écart. Une possibilité à appliquer pour une période déterminée.","Non",,,"Une bonne chose",,,"Oui","Supprimer le Sénat",,"Non",,,"Oui",,,,"",,,,,,,,,,,,,"",,,,,,
"UHJvcG9zYWw6MWY3MjE1NTktMWUyNi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-72","ric","2019-01-22 10:14:29","2019-01-22 10:14:29",,false,,"VXNlcjo3ZTc0OTQwNi0xZTFmLTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","29750","le Maire","Oui","associations ou organisations représentatives de la parole du peuple","donner la parole aux citoyens","Une bonne chose",,"la proportionnelle","Oui","300 députés et suppression du sénat,,,, aux usa environ 300 représentants pour 300 millions de citoyens ???","vote obligatoire et vote blanc pris en compte","Oui","un vote blanc= une voix","le référendum d'initiative citoyenne avec des critères d'accès atteignables,,, pas à la sarkozy","Oui","déclenchement si 800000 signatures et 150 députés","un site internet et/ou des réunions avec des élus locaux","suppression du sénat et du cese qui ne servent à rien et autres organismes qui servent de recase ment aux amis","Oui","les supprimer","respect de la loi de 1905",,"écouter",,,,"le terrorisme la pédophilie et le harcèlement",,,,,"Non",,,,,,
"UHJvcG9zYWw6MmNiNzVkYjUtMWUyNi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-73","Elections et sanctions pénales","2019-01-22 10:14:51","2019-01-22 10:14:51",,false,,"VXNlcjplOGJlNDE3Yy0xYjNlLTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","49000","Député à condition qu'il soit assidu à l'assemblée et intègre","Non",,"Instaurer plus de confiance. Il faudrait que les élus soient vraiment représentatifs et ce, par la mise en place du vote obligatoire","Une bonne chose","On ne peut pas s'occuper correctement d'une multitude d'actions. Le cumul de mandat permet de cumuler les avantages des fonctions pour répondre à des ambitions de réussites personnelles","Ce n'est pas nécessaire. Il faut laisser la majorité élue démocratiquement réaliser ses projets","Oui","CESER, Conseillers départementaux. Mais aussi les députés et les sénateurs même si c'est exclus  dans la question.","La participation est très insuffisante. Rendre le vote obligatoire. Attribuer une carte d'électeur aux personnes d'origine étrangère sous la condition d'une parfaite (très bonne) intégration.","Oui","Développer la votation électronique. Mettre des bulletins blancs dans les bureaux de vote tout simplement. Si il y a un certain quota de bulletins blancs faire un troisième tour ou refaire une élection car les candidats ou les programmes ne conviennent pas.","Dans le cadre d'un vote obligatoire, les élus seraient plus représentatifs et ça serait suffisant. Cessez la distraction de prospectus électoraux coûteux et inutiles.","Non",,"Vote obligatoire = élection choisie = programme adopté. C'est suffisant à condition qu'il y ait une information réelle et sincère sur l'utilisation de l'argent public.","Ceux réalisés actuellement conviennent. Supprimer le CESER","Oui","Réduction des représentants et suppression ou réduction des membres de certaines assemblées (sénat, Assemblée Nationale)","Respecter les principes de la laïcité adoptés en France, notamment pas de signes extérieurs d'appartenance à une religion","Plus de formation, d'information et plus de contrôle et de sanctions si nécessaire","Vote obligatoire, Pollueur payeur, Casseur payeur...","Respect des lois, respect des autres, fierté d'être français","Formation dès l'école primaire mais aussi poursuite lors des différents degrés d'études. Renforcement de l'instruction civique, de la morale","RAS","Manque de savoir vivre d'une certaine jeunesse défavorisée","Former, contrôler et sanctionner","RAS","Manque de respect des personnes âgées","Formation dès l'école primaire mais aussi poursuite lors des différents degrés d'études. Renforcement de l'instruction civique, de la morale","Oui","Adhésion aux règles et aux lois. Les contreparties ne sont pas un dû. Implication des bénéficiaires","Il y a trop d'immigrés. Établir des quotas.","Oui","A renouveler tous les ans en fonction de l'investissement que la France aura réalisée dans ce domaine l'année N-1","Former pour mieux intégrer","Rendre le vote obligatoire. Prendre en compte les bulletins blancs. Les personnes qualifiées condamnées à des peines d’emprisonnement (hors meurtre, homicide, viol, terrorisme, trafic de drogue) devraient obligatoirement réaliser des travaux d’intérêts généraux (Entretien du patrimoine, aides à la réalisation de démarches administratives…) Réduire le budget des armées. Supprimer les régimes spéciaux de retraite Imposer davantage les très gros revenus des dirigeants des grandes entreprises. Indexer les retraites."
"UHJvcG9zYWw6MzAzZjZkOTItMWUyNi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-74","vie","2019-01-22 10:14:57","2019-01-22 10:14:57",,false,,"VXNlcjplN2U2NDc3My0xZDU4LTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","86580","les élus à condition que les règles soient plus strictes comme un casier judiciaire vierge ou paiement des frais sur justificatifs","Non",,"Faire la ""guerre"" aux fausses informations","Une bonne chose","Un élu ne peut faire bien qu'un seul mandat à la fois","une part de proportionnelle","Oui","en supprimant",,"Oui",,,"Je ne sais pas",,"Mettre en place les recommandations de la cour des comptes après un débat","c'est plus de décentralisation","Oui","Diminuer le nombre de sénateurs et supprimer le conseil économique","faire respecter la loi",,,,,,,,,,,"Oui","Une participation à la vie de la commune dans les associations","Régler rapidement le statut de chacun et leur permettre de travailler dés leur arrivée","oui",,,
"UHJvcG9zYWw6NDNiNWMzM2ItMWUyNi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-76","immigration zéro .cela plombe notre économie (aide sociale,soin ,logement) STOP","2019-01-22 10:15:30","2019-01-22 10:15:30",,false,,"VXNlcjpkZmE1YTgxNS0xZTFmLTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","57000","personne (politicien trop loin du terrain)","Non",,"proportionnel et referundum","Une bonne chose","on ne peut se consacrer à 50 taches en même temps correctement","proportionnel importante","Oui","supprimer le senat","c'est un devoir.","Oui","au dessus d'un certain taux l'election est annulée","referundum","Je ne sais pas",,"referendum par internet",,"",,,,"rétablir le service militaire",,,,,,"déjà une justice qui  condamne  pas des bisounours",,,"Oui","toutes","il faut la stopper .elle ruine le pays . quotas zéro .","oui . zéro immigration ( nos aides sociales sont vidées par cette immigration ,nos hôpitaux saturés etc etc)","rétablir nos frontières pour bloquer ce flux incessant","le service militaire","la justice de ce pays part en sucette. un délis ,une condamnation. Rien ne doit rester impuni"
"UHJvcG9zYWw6NDZkOTkyMmYtMWUyNi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-77","vote blanc reconnu","2019-01-22 10:15:35","2019-01-22 10:15:35",,false,,"VXNlcjpjYzM3NjY4My0xZTFlLTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","51430","le maire de ma commune,","Oui","associations sociales,","participer à la vie sociale, et vivre comme une personne civile, payer ses frais avec ses deniers personnels, comme le modèle suédois.","Une bonne chose","Il devrait ne pas bosser pendant leur mandat, et ne bénéficier comme tout à chacun d'une retraite par rapport à son travail, et non l'accumulation de ses différentes retraites de mandat;","changer le mode de scrutin, et d'élections. Car un petit candidat, où une personne classique ne sera jamais élu, donc on tourne en rond, toujours des énarques, qui ne sait pas ce qu'est la vie qui ne pense qu'à leur intérêt personnel, et non à leurs employeurs. Car ils ont tendance à oublier que c'est le peuple qui leur donne leur salaire, et non l'inverse;","Oui","ministres et secrétaires d'état qui ne servent à rien, et que l'on ne connait même pas. Et faire du tri chez les hauts fonctionnaires qui nous coutent très chers;","depuis longtemps on vote contre quelqu'un et non pour. Et on a le choix entre la peste et le choléra. Il faut mettre à mon avis LE RIC en place, et on aura l'impression d'aller voter pour quelque chose, si LE GOUVERNEMENT SUIT L'AVIS DU PEUPLE pas comme il nous ont fait pour l'Europe;","Oui","par partir d'un certains nombres de vote blanc, on recommencerait l'élection.","RIC","Oui",,"Faire comme pour les salaires des élus, que l'on puisse consulter les dépenses de l'état, et obliger les élites a transférés leur note de frais, oui car c'est notre argent;",,"",,,,,,,,"manque de respect,","amendes,","respecter soi même","par rapport aux gens de couleur, où physique,","arrêter de continuellement opposer les gens,","Oui","s'intégrer et apprendre notre langue;","un quota par rapport au besoin du pays,",,,"quand les gens travaillent, pour moi il n'y a pas de soucis, par contre il faut arrêter d'expulser les jeunes qui ont fait des études en France sous pretexte qu'ils ont dix huit ans. Car c'est une chance pour notre pays.",
"UHJvcG9zYWw6NTA2OWUyNjQtMWUyNi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx","1-78","Démocratie et citoyenneté","2019-01-22 10:15:51","2019-01-22 10:15:51",,false,,"VXNlcjo4ZGU4OTA0OS0xZDYxLTExZTktOTRkMi1mYTE2M2VlYjExZTE=","Citoyen / Citoyenne","33850","les députés","Oui","Syndicats et organisations professionnelles","Démocratie et Citoyenneté :  •	Nationalité française : Seuls les enfants nés de parents français sont français (droit du sang). Si un seul des parents est français, le choix de la nationalité sera fait à la naissance et sera la nationalité de l’un des parents (libre choix). •	La Nationalité Française s’acquiert d’une manière volontaire à la majorité civile sous condition de la maîtrise de la langue française et de l’absence de toute condamnation pénale. •	Tout étranger subissant, de par ses actes, une condamnation à de la prison ferme ne sera pas autorisé à rester sur le territoire à la fin de sa peine. •	L’immigration clandestine sera combattue en condamnant tout employeur de clandestins à une peine de prison ferme de 3 mois et 10000€ d’amende par clandestin employé. C’est en frappant en particulier les employeurs que nous pouvons combattre l’immigration clandestine. •	Le regroupement familial sera limité à un conjoint (pour éviter le regroupement de familles polygames) sous condition de la maîtrise de la langue française et que les revenus et logement d’accueil soient suffisants pour assurer le train de vie de la famille. •	Référendum d’initiative populaire à titre consultatif proposé par 1/10 des parlementaires et 1/10 du corps électoral. •	Référendum d’initiative populaire pour proposition d’amendements sur les projets de lois du gouvernement sur la demande d’1/20 du corps électoral. Ces amendements devront être approuvés ou non par l’Assemblée Nationale. •	Référendum local (niveau collectivités territoriales) avec les signatures de 10% du corps électoral correspondant à la collectivité (Commune, département, Région, …)","Une mauvaise chose","avoir un Maire aussi député apporte un plus à l'Assemblée Nationale (non coupée des réalités locales)","un peu de proportionnelle (maxi 15% avec un seuil de 3 ou 5% des votes pour être représenté)","Oui","tous, région, département, et commune avec un regroupement obligatoire pour avoir des communes d'environ 5000 habitants minimum","vote obligatoire","Non","Les abstentions suffisent à exprimer le vote blanc","utiliser le Référendum","Oui","au moins 15% des élus et 10% des inscrits","inutile, la connaissance de l'économie par les français est nulle : alors mettre l'économie au programme de l'école des le lycée","Aucun, l'Assemblée Nationale a toujours le dernier mot !","Oui","Supprimer le CESE qui sert à recaser des tas de gens (fonctionnaires, syndicalistes...) et diminuer le nombre de sénateurs (2 par département) en leur donnant plus de pouvoir (comme aux Etats Unis","La loi de 1905 suffit","Virer tous les imams salafistes et inscrire la laïcité dans le cursus éducatif","80% ces citoyens veulent qu'on les laisse tranquille, donc rien !","la solidarité","l'Ecole",,"La propreté: aller voir Singapour pour comprendre","Amendes, Amendes, Amendes, voir Singapour","d'abord être éduqué!",,,"Oui","travail, travail, travail","La situation est mauvaise car les déboutés et les immigrés clandestins ne sont pratiquement jamais reconduits dans leurs pays d'origine","Renvoyer tous les autres dans leurs pays d'origine; idem pour tout condamné ayant une double nationalité: perte de la nationalité française et retour au pays d'origine à la fin de la peine de prison.","Durcir les lois","L'éducation, l'apprentissage du français obligatoire et la laïcité",
