,authorId,id,reference,title,createdAt,publishedAt,updatedAt,trashed,trashedStatus,authorType,authorZipCode,QUXVlc3Rpb246MTYw - Quel est aujourd'hui pour vous le problème concret le plus important dans le domaine de l'environnement ?,QUXVlc3Rpb246MTYx - Que faudrait-il faire selon vous pour apporter des réponses à ce problème ?,QUXVlc3Rpb246MTQ2 - Diriez-vous que votre vie quotidienne est aujourd'hui touchée par le changement climatique ?,"QUXVlc3Rpb246MTQ3 - Si oui, de quelle manière votre vie quotidienne est-elle touchée par le changement climatique ?","QUXVlc3Rpb246MTQ4 - À titre personnel, pensez-vous pouvoir contribuer à protéger l'environnement ?","QUXVlc3Rpb246MTQ5 - Si oui, que faites-vous aujourd'hui pour protéger l'environnement et/ou que pourriez-vous faire ?","QUXVlc3Rpb246MTUw - Qu'est-ce qui pourrait vous inciter à changer vos comportements comme par exemple mieux entretenir et régler votre chauffage, modifier votre manière de conduire ou renoncer à prendre votre véhicule pour de très petites distances ?",QUXVlc3Rpb246MTUx - Quelles seraient pour vous les solutions les plus simples et les plus supportables sur un plan financier pour vous inciter à changer vos comportements ?,"QUXVlc3Rpb246MTUy - Par rapport à votre mode de chauffage actuel, pensez-vous qu'il existe des solutions alternatives plus écologiques ?","QUXVlc3Rpb246MTUz - Si oui, que faudrait-il faire pour vous convaincre ou vous aider à changer de mode de chauffage ?","QUXVlc3Rpb246MTU0 - Avez-vous pour vos déplacements quotidiens la possibilité de recourir à des solutions de mobilité alternatives à la voiture individuelle comme les transports en commun, le covoiturage, l'auto-partage, le transport à la demande, le vélo, etc. ?","QUXVlc3Rpb246MTU1 - Si oui, que faudrait-il faire pour vous convaincre ou vous aider à utiliser ces solutions alternatives ?","QUXVlc3Rpb246MjA3 - Si non, quelles sont les solutions de mobilité alternatives que vous souhaiteriez pouvoir utiliser ?",QUXVlc3Rpb246MTU3 - Et qui doit selon vous se charger de vous proposer ce type de solutions alternatives ?,QUXVlc3Rpb246MTU4 - Que pourrait faire la France pour faire partager ses choix en matière d'environnement au niveau européen et international ?,QUXVlc3Rpb246MTU5 - Y a-t-il d'autres points sur la transition écologique sur lesquels vous souhaiteriez vous exprimer ?,Region
10,VXNlcjo0OTkzZTBmYy0yN2NhLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6ZmU3OGRhMjYtMjdkNS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-48638,l'énergie la plus propre est celle que l'on n'utilise pas,2019-02-03 18:06:06,2019-02-03 18:06:06,,False,,Citoyen / Citoyenne,20000, course croissance consommation excessive ressourcer énergie, taxer davantage produit importer fonction distance genre écotaxe international,Non,,Oui, limiter achat bien consommation acheter plutôt service,, etat employeur faciliter mobilité conjoint rapprochement conjoindre,Non,,Je n'utilise pas la voiture pour des déplacements quotidiens,, faire gens pouvoir travailler lieu vie vivre lieu travail, employeur comprendre etat employeur,, écologie vraiment compatible modèle économique baser croissance développement durable oxymore inventer avoir prendre décision difficiles,Corse
11,VXNlcjo0OWIxMzE1NC0zNzZiLTExZTktYmY1Ni1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6ZDQ4YzBmMjgtMzc3My0xMWU5LWJmNTYtZmExNjNlZWIxMWUx,2-84599,Mon bien être,2019-02-23 15:03:43,2019-02-23 15:03:43,,False,,Citoyen / Citoyenne,20000, déchet, revoir collecte tri,Oui,,Oui, trier,, supprimer taxe,,,Non,,,,,,Corse
12,VXNlcjo0YTQ3OTI5Yi0zYmM0LTExZTktYmY1Ni1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6ZTFmZGUxZTAtM2JjOS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx,2-95117,Arrêter de nous culpabiliser,2019-03-01 03:29:47,2019-03-01 03:29:47,,False,,Élu / élue et Institution,20000, pollution industriel maritime aérienne dépasser largement pollution devoir véhiculer  an pauvre gens, interdire circulation navire polleurs monde,Oui, tempêter canicule fréquenter incendier catastrophiques,Non, incivisme majorité annihiler effort personnel, chauffe eau solaire chauffage répondre normer voiture indispensable  commerce médecin école bureau poster, maximum retraite prêt payer maison pouvoir changer voiturer  an essence bichon voiturer petit village mort assurer,Non,,Non,, maison retraiter livraison domicile commercer ambuler,, capable opposer diktat bruxelles tellement réglementation quota ruiner pêcheur agriculteur éleveur révons, falloir arrêter piquer porte monnayer retraité faire payer industriel polluer vergogne air sol stockage déchet bon incinérateur procurer solution chauffage pollution,Corse
13,VXNlcjo0YTVjMWJlNi0xZjEzLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6ZmZhMGQ0MjEtMWYxYS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-10912,propositions...,2019-01-23 15:27:22,2019-01-23 15:27:22,,False,,Citoyen / Citoyenne,20000, pollution air, transports favoriser ferroviaire forme train tramway métro dépenser  foi énergie routier,Oui, saison coup froid amplitude poindre chaleur anormal pluie saison croire,Oui, véhicule remplacer  électrique intéresser autonomie prix achat aide rebuter, gratuité transports commun miser disposition parking relais périphérie agglomération, prix véhicule hybrider électriques équivaloir énergie fossile,Oui, aide etat directement déduire facture entreprise réaliser travail posteriori remettre impots simplification démarche administratif,Non,, covoiturage|résidant milieu rural simple économique sembler covoiturage limite, là malheureusement disponibilité, charité ordonner commencer, autonomie véhicule  électrique plutôt vouloir multiplier point recharger rapide reconvertir station service dépôt batterie charger amovibles standardiser typer véhiculer plein vide favoriser accélérer mise application échelle industriel filière hydrogéner piler combustible association énergie renouvelables particulièrement solaire sortir dépendance fossile nucléaire,Corse
14,VXNlcjo0YjA4MTk4Yi0yMTdmLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6NzAwYjQ0NTYtMjJmZi0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-32530,Energie solaire,2019-01-28 14:20:10,2019-01-28 14:20:10,,False,,Élu / élue et Institution,20000, dérèglement climatiques croire sécheresse, développer énergie solaire,Non,,Oui, installer toit panneau solaire production électricité, meilleur priser compter travail subvention liste entreprise honnêtes compétentes fournir installer production eau chaude solaire avancer somme , subvention directement verser entreprise venir déduction facture rester,Non,,Non,, auto partage|le covoiturage|les transports commun|le transport demande, collectivité territoriale placer communauté commune région, faire adopter premier temps europe charte pollueur payeur faire lobbying mondiaux,,Corse
15,VXNlcjo0YjQ1MDljOC0xZmNjLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6NWZmNmI2MjItMWZkMy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-16522,pollueur/payeur,2019-01-24 13:27:12,2019-01-24 13:27:12,,False,,Citoyen / Citoyenne,20000, pollution air, rétablir écotaxe portique camion exonérer entreprise transport payer taxe impôt france faisant allègement fiscal équivaloir monter économie taxer verser éviter problème concurrencer vivre vivre cee mettre taxe commercial kilométrer survoler dessus territoire escale facilement faisable avion espace aérien identifier ais polluer atmosphère contrepartie compagnie vouloir payée interdire survol faciliter loi passage véhicule exister bioéthanol éventuellement aider démunir allouant aide équivaloir moitié prix payer installation professionnel agréer boitier flex fuel augmenter territoire poindre carburer bioéthanol comprendre corse jour compter poindre ravitaillement égal face carburer rapport français,Oui, intempérie violer fréquenter pluie vent,Oui, construire maison normer  circuler beaucoup moto scooter, vouloir rouler voiturer hybrider rechargeable faire  jour aller travail suffire rouler  électrique semaine hybrider ballade weekend imposable typer véhiculer coûter trop cher budget rouler bio éthanol corser, surtaxer produit importation pays polluer taxer proportionnel niveau pollution exemple chine polluer   planète   france taxe produit   pays cee pays cee appliquer chose poser problème niveau cee faire sortir cee adopter loi payer cee taxe écologique fonction niveau pollution européen  surtaxer denrée alimentaires pays respecter normer écologique procéder culture élevage territoire,Non,,Non,,,, nucléaire solution polluante atmosphère productif surtaxer produit importation pays polluer taxer proportionnel niveau pollution exemple chine polluer   planète   france taxe produit   pays cee pays cee appliquer chose poser problème niveau cee faire sortir cee adopter loi payer cee taxe écologique fonction niveau pollution européen  surtaxer denrée alimentaires pays respecter normer écologique procéder culture élevage territoire,,Corse
16,VXNlcjo0YmE3M2Y2OC0yYjVmLTExZTktYmY1Ni1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6ZWRiYzVlYTUtMmI2OS0xMWU5LWJmNTYtZmExNjNlZWIxMWUx,2-58305,stop à la gabegie des éoliennes,2019-02-08 07:22:37,2019-02-08 07:22:37,,False,,Citoyen / Citoyenne,20000, désinformation généraliser profit organisation dire écologiste, donner davantage parole scientifique,Non,,Oui, collecter eau pluie chauffage sanitaire panneau solaire compostage déchet ménagers ramassage déchet forêt bord router préférence denrée alimentaires circuit courir,, facture électricité subventionner éolien,Non,,Je n'utilise pas la voiture pour des déplacements quotidiens,,,, faire valoir production énergie nucléaire, agir davantage pollution océan réchauffement,Corse
17,VXNlcjo0ZTY1MzJjMS0yMTc0LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6MzA0ZGRmYTEtMjIwYS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-27786,POUR LA TRANSITION IL FAUT UNE FISCALITE INCITATIVE,2019-01-27 09:04:36,2019-01-27 09:04:36,,False,,Citoyen / Citoyenne,20000, dérèglement climatiques croire sécheresse, france multiplier facilité financement réalisation économie énergie habitat transports industrie agriculture,Oui, accroissement pic pollution sécheresse,Oui, transports commun privilégier achat bio chauffage optimiser, augmentation significative coût énergie abaisser  vitesse agglomération, premier diminuer déplacement obligatoires améliorer liaison internet redynamiser centre ville gratuité transports commun,Oui, abaisser considérablement coût pompe chaleur,Je n'utilise pas la voiture pour des déplacements quotidiens,, vélo|les transports commun|le covoiturage, communauté commune, exemplaire faire savoir multiplier proposition europe promouvoir transport longue distancer container rail remplacement poids lourd exister problème transport maritime terrestre autant container réfrigérer exister, baisser tva filière agricole bio inciter agriculteur français passer bio consommateur choisir bio produit bio devoir chers bio simplifier procédure accélérer mise placer énergie renouvelables limiter champagne recours possibles utilité publique obliger quota investissement réalisation renouvelable producteur énergie taxer émission méthane,Corse
18,VXNlcjo0Zjg3ODQwNy0zYjIxLTExZTktYmY1Ni1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6NjY2YWNkOTMtM2IyNC0xMWU5LWJmNTYtZmExNjNlZWIxMWUx,2-93078,solaire thermique en prorité- pistes cyclables à construire - contrôler entreprises de forages,2019-02-28 07:45:13,2019-02-28 07:45:13,,False,,Citoyen / Citoyenne,20000, biodiversité disparition espèce, maîtriser démographie cesser déforestation lutter croissance désert encourager alimentation végétarien,Oui, monde besoin chauffage hiver chaud nouveau espèce coloniser région,Oui, végétarisme déchet attitude responsable, possibilité déplacer vélo sécurité automobiliste trop dangereux, transformer voie routier pister cyclable,Oui, obliger copropriété immeuble investir rénovation énergétique immeuble tant locataire possibilité influencer décision,Non,, vélo, région communauté agglomération commune aménager piste cyclables, montrer exemple ensemble territoire prouver bienfait choix, solaire thermique inexploité france investir recherche typer panneau solaire thermique panneau coûteux adapter climat chaud élaborer climat frai soutenir filière solaire thermique filière photovoltaïque grace production solaire thermique français réduire besoin électricité investissement égal rentabilité énergétique  foi importante panneau thermique photovoltaïque besoin énergétique changer voire augmenter notamment impact global fabrication panneau nécessiter  énergie panneau produire longue vie sensé avoir déplacement doux imposer plan régional vélo région grand ville facile suffire transformer rue rendre piéton cyclables loin compter causer voiture déplacement pendulaires organiser zone dortoir périurbaines coût accessible zone activité urbaines maire sentir concerner piste cyclable commune écologiste pression population bon sentir pouvoir trouver impossibilité réaliser raison géographiques commune traverser route départementale régionale router lien commune devoir compter intercommunalité penser bon échelle état créer axe régional automobile proposer région créer axe cyclables pédestres équestres protection ressource eau problème forage société sérieux faire forage partout contrôler loi prévoir maire devoir contrôler faire citoyen déclarer forage risquer contraire pouvoir gagner ex camping consommer eau potable distribuer eau sanitaire contrôler sanitaire illégalité réaliser profit supplémentaires comment vouloir maire contrôler faire citoyen efficace contrôler activité société forage imposer réaliser déclaration compte client cas corse lieu demander  maire contrôler   habiter mission impossible proposer réinstaurer drire contrôler activité  entreprendre,Corse
19,VXNlcjo0ZmVlODlhNy0xZGIxLTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6Y2U3MjExOTAtMjEzZS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-24191,des fonds d'investissements pour la transition ecologique et une réelle politique européenne,2019-01-26 08:48:44,2019-01-26 08:48:44,,False,,Citoyen / Citoyenne,20000, pollution air, ameliorer transport pl logement polluer,Oui, croire secheresse intenses rapide,Oui, ecocomie eau chauffage deplacements tri selectif circuit courir developpement durable ab, innovation information cibler diagnostic gratuit, davantage conseil,Non, diagnostic,Oui, ras,, collectivité, legislation, falloir pouvoir sortir précarité pouvoir penser transition ecologique,Corse
20,VXNlcjo1MDRiOWNiYS0zMDkwLTExZTktYmY1Ni1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6Y2E5NDZkZGQtMzA5Ni0xMWU5LWJmNTYtZmExNjNlZWIxMWUx,2-69146,tout le monde sait mais personne ne fait,2019-02-14 21:26:21,2019-02-14 21:26:55,,False,,,20000, falloir prendre compter environnement globalité lier, développer mobilité alternative covoiturage pister cyclable transports public proposer alternative concréter réalisables rapidement motiver gens utiliser façon raisonner usage voiture individuel imposer taxe proportionnelle taux pollution entreprise éduquer façon simple compréhensible population problématique solution environnementales diminuer pouvoir lobbying société,Oui, pollution aire maladie respiratoire canicule pesticide perturbateur endocriniens,Oui, covoiturage consommation biologique produire issir agriculture raisonner manger locale chauffer maison raisonnablement utilisation raisonner eau acheter second main réparer plutôt jeter éviter surconsommation, obliger propriétaire louer vivre domicile rénover parc énergétique chauffage chauffer eau classer informer davantage accompagner gens, transparence utilisation taxe,Oui, aide financier obligation faire,Oui, développer auto partager air covoiturage accessibles facilement pleine campagne développer piste cyclables donner information personnaliser entreprise montrer économie faire encourager gens faire petit effort quotidien,, entreprise commune, france pouvoir prendre exemple pays avancer respecter règle proposer europe, encourager gens changement habitude petit mieux  petit beaucoup,Corse
21,VXNlcjo1MWE5MDU0Yy0xZTM3LTExZTktOTRkMi1mYTE2M2VlYjExZTE=,UHJvcG9zYWw6Zjg2NjUyMzYtMjBmNy0xMWU5LTk0ZDItZmExNjNlZWIxMWUx // UHJvcG9zYWw6ZjJhZTUxOWItMWUzYS0xMWU5LTk0ZDItZmExNjNlZWIxMWUx,2-23881 // 2-1678,Urgence absolue // Volonté politique en actes,2019-01-22 12:43:33 // 2019-01-26 00:21:40,2019-01-22 12:43:33 // 2019-01-26 00:21:40,2019-01-22 12:46:43,False,,Citoyen / Citoyenne,20000, dérèglement climatiques croire sécheresse problème lier, solution exister falloir faire choix politiquer imposer quantité gens plein idée citoyen scientifique chef entreprise cf film demain falloir impérativement donner pouvoir fonction réelle moyens agir mesure compétence engagement punir boycotter pollueur tricheur mettre climato sceptique loi sanctionner faire question priorité inscrire urgence constitution façon faire obligation obligation résultat gouvernement,Non // Oui, façon critiquer vivre condition privilégier pollution angoisser avenir réchauffement climatique médecin psychiatre constater effet secteur santé physique mentale,Oui, titrer priver dérisoire politiquement espérer pouvoir soutenir projet réellement engager preneur moyens typer tri sélectif voiturer polluantes privilégier transports polluer boycotter emballage plastiquer réduire produire alimentaires superflus dévastateur isoler consommer général réduire gaspillage condition mesure coordonner politique envergure appliquer, projet politiquer audacieux convaincant animer courage désir décider volonté politiquer claire nettement exprimer mesure courageux exiger, problème millionnaire  riche tri sélectif voiturer polluantes transports polluer boycotter emballage plastiquer réduire produire alimentaires superflus dévastateur isoler consommer général réduire gaspillage,Non // Oui, convaincre ailleurs changer chauffage,Oui, oui transports commun absolument insuffisants incitation faible coût élever région picardie devoir effectuer déplacement nombreux comprendre pari aisne hauts france coût exorbitants durée transports longue réseau pister cyclables quasi inexistant oui insuffisamment région picardie transports commun quasi inexistants axe dire secondaire pister cyclables, transports commun|le covoiturage|le vélo transports commun|le covoiturage|l auto partage|le transport demande|le vélo|soutenir alternative façon décider incitation réelles collectivité particulier, etat cadre vaste politiquer nationale aspect délégation région ville subvention etat collectivité commune niveau synchronisation solidaires, donner exemple réussite matière montrer démontrer résultat amélioration qualité vie lien social possibilité faire causer commune, energies renouvelables question nucléaire urger avoir position lisible argumenter question beaucoup,Corse
