Case #1
26 29
27 26
34 27
13 34
38 13
12 38
39 12
22 39
29 22
20 29
30 20
19 30
30 19
17 30
29 17
21 29
27 21
26 27
26 26
17 26
26 17
21 26
28 21
25 28
24 25
20 24
28 20
22 28
23 22
25 23
17 25
29 17
16 29
30 16
15 30
33 15
14 33
29 14
13 29
35 13
12 35
34 12
12 34
32 12
12 32
41 12
10 41
40 10
10 40
43 10
9 43
41 9
8 41
40 8
8 40
42 8
7 42
44 7
6 44
42 6
6 42
41 6
11 41
39 11
8 39
38 8
7 38
38 7
10 38
37 10
7 37
40 7
9 40
46 9
4 46
50 4
2 50
50 2
1 50
49 1
2 49
48 2
3 48
44 3
3 44
45 3
2 45
44 2
2 44
45 2
4 45
43 4
2 43
43 2
2 43
43 2
2 43
48 2
1 48
46 1
1 46
43 1
4 43
42 4
4 42
41 4
6 41
40 6
2 40
40 2
3 40
41 3
1 41
45 1
5 45
38 5
6 38
39 6
2 39
40 2
1 40
38 1
9 38
35 9
9 35
35 9
18 35
24 18
20 24
31 20
12 31
30 12
15 30
25 15
17 25
24 17
17 24
27 17
16 27
26 16
14 26
26 14
21 26
23 21
20 23
22 20
17 22
22 17
21 22
20 21
21 20
18 21
21 18
17 21
20 17
18 20
17 18
23 17
16 23
24 16
14 24
24 14
13 24
24 13
15 24
27 15
19 27
15 19
22 15
14 22
21 14
14 21
25 14
12 25
28 12
10 28
30 10
5 30
35 5
6 35
37 6
7 37
32 7
8 32
27 8
8 27
27 8
8 27
34 8
9 34
31 9
9 31
29 9
9 29
33 9
11 33
22 11
16 22
17 16
16 17
17 16
14 17
17 14
15 17
20 15
13 20
19 13
13 19
19 13
11 19
24 11
10 24
25 10
9 25
36 9
2 36
36 2
4 36
35 4
2 35
35 2
4 35
30 4
7 30
28 7
7 28
29 7
4 29
29 4
5 29
34 5
2 34
35 2
3 35
33 3
6 33
32 6
2 32
31 2
3 31
30 3
6 30
28 6
6 28
28 6
7 28
27 7
6 27
28 6
3 28
30 3
2 30
33 2
1 33
26 1
5 26
27 5
3 27
27 3
7 27
21 7
9 21
20 9
7 20
20 7
8 20
17 8
14 17
16 14
15 16
14 15
23 14
3 23
28 3
2 28
24 2
1 24
24 1
12 24
16 12
18 16
7 18
17 7
7 17
22 7
6 22
25 6
4 25
20 4
5 20
21 5
3 21
23 3
1 23
21 1
6 21
18 6
9 18
14 9
13 14
15 13
10 15
16 10
7 16
16 7
6 16
14 6
12 14
13 12
6 13
13 6
12 13
9 12
12 9
10 12
19 10
5 19
18 5
4 18
17 4
5 17
19 5
3 19
20 3
2 20
20 2
1 20
18 1
3 18
17 3
4 17
16 4
4 16
16 4
3 16
19 3
11 19
6 11
11 6
10 11
10 10
9 10
7 9
9 7
7 9
8 7
10 8
6 10
9 6
15 9
5 15
13 5
5 13
9 5
6 9
6 6
5 6
5 5
5 5
7 5
12 7
4 12
13 4
3 13
12 3
3 12
16 3
2 16
16 2
2 16
14 2
1 14
14 1
2 14
13 2
2 13
11 2
1 11
10 1
4 10
7 4
8 7
3 8
6 3
3 6
7 3
2 7
6 2
2 6
6 2
4 6
2 4
6 2
1 6
3 1
2 3
1 2
31 1

Case #2
33 36
47 33
43 47
39 43
41 39
47 41
35 47
44 35
45 44
26 45
47 26
31 47
41 31
40 41
23 40
47 23
38 47
38 38
48 38
50 48
28 50
50 28
34 50
49 34
21 49
38 21
23 38
43 23
20 43
50 20
27 50
42 27
33 42
26 33
33 26
23 33
48 23
16 48
47 16
34 47
24 34
28 24
41 28
27 41
35 27
17 35
50 17
12 50
49 12
12 49
49 12
46 49
12 46
49 12
9 49
40 9
12 40
35 12
31 35
36 31
32 36
31 32
25 31
41 25
22 41
33 22
23 33
34 23
12 34
45 12
10 45
33 10
12 33
47 12
11 47
43 11
4 43
32 4
44 32
5 44
37 5
21 37
31 21
16 31
38 16
9 38
47 9
15 47
28 15
17 28
15 17
28 15
24 28
26 24
21 26
24 21
25 24
23 25
36 23
29 36
14 29
36 14
8 36
31 8
18 31
26 18
8 26
33 8
22 33
23 22
22 23
6 22
31 6
27 31
20 27
25 20
9 25
28 9
16 28
27 16
12 27
35 12
11 35
50 11
19 50
8 19
25 8
14 25
30 14
5 30
26 5
16 26
6 16
25 6
14 25
13 14
17 13
9 17
21 9
23 21
12 23
24 12
39 24
1 39
40 1
7 40
23 7
18 23
8 18
29 8
3 29
23 3
11 23
24 11
1 24
26 1
4 26
10 4
4 10
15 4
9 15
9 9
9 9
4 9
10 4
14 10
6 14
4 6
49 4
2 49
9 2
8 9
5 8
22 5
12 22
12 12
3 12
36 3

Case #3
some beads may be lost

Case #4
42 36
48 42
41 48
49 41
40 49
49 40
45 49
50 45
50 50
50 50
45 50
41 45
40 41
40 40
49 40
33 49
49 33
44 49
46 44
37 46
39 37
40 39
50 40
29 50
39 29
23 39
41 23
43 41
33 43
40 33
38 40
47 38
31 47
40 31
36 40
27 36
40 27
38 40
29 38
45 29
21 45
44 21
16 44
44 16
17 44
42 17
32 42
25 32
23 25
23 23
23 23
39 23
33 39
35 33
37 35
21 37
38 21
48 38
26 48
48 26
28 48
50 28
20 50
38 20
17 38
43 17
28 43
22 28
35 22
15 35
30 15
15 30
35 15
46 35
34 46
20 34
49 20
14 49
48 14
5 48
49 5
11 49
45 11
14 45
41 14
14 41
43 14
11 43
41 11
16 41
42 16
8 42
40 8
24 40
33 24
46 33
19 46
37 19
11 37
41 11
6 41
43 6
13 43
29 13
5 29
35 5
17 35
46 17
7 46
46 7
9 46
34 9
20 34
33 20
24 33
24 24
17 24
24 17
17 24
38 17
16 38
31 16
6 31
50 6
4 50
41 4
18 41
33 18
21 33
28 21
15 28
26 15
21 26
39 21
14 39
39 14
10 39
24 10
15 24
33 15
8 33
23 8
3 23
32 3
14 32
30 14
11 30
25 11
36 25
7 36
34 7
7 34
33 7
2 33
9 2
30 9
7 30
24 7
4 24
25 4
27 25
22 27
20 22
19 20
20 19
19 20
14 19
10 14
11 10
18 11
15 18
20 15
21 20
7 21
21 7
17 21
22 17
8 22
38 8
1 38
27 1
6 27
10 6
20 10
7 20
11 7
16 11
4 16
20 4
8 20
28 8
5 28
35 5
12 35
17 12
15 17
15 15
15 15
8 15
6 8
22 6
5 22
15 5
3 15
24 3
13 24
5 13
3 5
22 3
1 22
8 1
4 8
1 4
3 1
36 3

Case #5
44 21
50 44
50 50
47 50
50 47
49 50
45 49
48 45
48 48
47 48
43 47
50 43
44 50
48 44
38 48
48 38
37 48
48 37
40 48
47 40
43 47
43 43
43 43
49 43
42 49
50 42
41 50
50 41
41 50
45 41
39 45
49 39
33 49
49 33
35 49
48 35
38 48
45 38
44 45
44 44
41 44
42 41
41 42
44 41
39 44
43 39
38 43
41 38
46 41
46 46
35 46
46 35
37 46
45 37
37 45
47 37
33 47
48 33
32 48
49 32
31 49
48 31
32 48
47 32
31 47
47 31
29 47
47 29
36 47
50 36
28 50
48 28
34 48
46 34
35 46
44 35
37 44
43 37
35 43
44 35
36 44
45 36
34 45
41 34
37 41
42 37
40 42
39 40
35 39
39 35
35 39
39 35
34 39
44 34
31 44
45 31
30 45
41 30
33 41
39 33
38 39
38 38
38 38
40 38
37 40
40 37
30 40
49 30
26 49
50 26
25 50
50 25
24 50
49 24
26 49
47 26
32 47
46 32
26 46
48 26
24 48
50 24
23 50
50 23
22 50
50 22
22 50
48 22
22 48
50 22
20 50
49 20
27 49
45 27
32 45
43 32
32 43
39 32
32 39
43 32
29 43
40 29
36 40
38 36
34 38
38 34
37 38
36 37
37 36
36 37
42 36
31 42
39 31
29 39
41 29
28 41
44 28
27 44
43 27
27 43
44 27
26 44
45 26
20 45
50 20
19 50
49 19
19 49
49 19
19 49
50 19
25 50
41 25
26 41
44 26
21 44
48 21
19 48
45 19
19 45
48 19
18 48
49 18
23 49
47 23
17 47
48 17
24 48
41 24
25 41
39 25
33 39
36 33
34 36
35 34
33 35
33 33
35 33
34 35
34 34
31 34
34 31
32 34
38 32
30 38
36 30
29 36
35 29
29 35
40 29
24 40
39 24
27 39
38 27
26 38
46 26
23 46
39 23
24 39
41 24
28 41
36 28
27 36
35 27
30 35
34 30
27 34
35 27
29 35
32 29
33 32
37 33
26 37
37 26
26 37
36 26
26 36
37 26
23 37
38 23
25 38
36 25
24 36
36 24
23 36
41 23
20 41
44 20
19 44
44 19
19 44
46 19
17 46
47 17
16 47
47 16
22 47
43 22
17 43
43 17
17 43
46 17
18 46
44 18
18 44
50 18
14 50
50 14
15 50
43 15
15 43
41 15
17 41
42 17
21 42
40 21
22 40
39 22
22 39
38 22
21 38
36 21
28 36
32 28
30 32
31 30
30 31
28 30
33 28
26 33
35 26
21 35
39 21
19 39
38 19
17 38
39 17
20 39
35 20
25 35
33 25
25 33
34 25
24 34
33 24
25 33
32 25
26 32
31 26
26 31
31 26
25 31
32 25
24 32
32 24
24 32
34 24
21 34
34 21
20 34
35 20
22 35
37 22
19 37
35 19
19 35
37 19
17 37
35 17
17 35
34 17
22 34
33 22
27 33
30 27
22 30
33 22
17 33
40 17
15 40
41 15
16 41
42 16
18 42
49 18
13 49
50 13
12 50
50 12
11 50
49 11
11 49
48 11
9 48
48 9
14 48
46 14
13 46
47 13
11 47
45 11
12 45
44 12
14 44
40 14
16 40
38 16
15 38
43 15
12 43
46 12
9 46
50 9
6 50
50 6
1 50
50 1
8 50
48 8
7 48
48 7
10 48
47 10
6 47
48 6
5 48
47 5
7 47
46 7
13 46
42 13
7 42
44 7
4 44
46 4
8 46
41 8
8 41
45 8
9 45
43 9
6 43
49 6
2 49
46 2
1 46
43 1
4 43
47 4
10 47
40 10
13 40
38 13
13 38
38 13
16 38
37 16
16 37
33 16
20 33
30 20
27 30
29 27
23 29
31 23
26 31
26 26
27 26
25 27
28 25
22 28
28 22
22 28
29 22
21 29
27 21
23 27
26 23
25 26
23 25
25 23
22 25
26 22
21 26
28 21
24 28
21 24
24 21
22 24
32 22
19 32
36 19
15 36
39 15
11 39
39 11
14 39
37 14
13 37
38 13
11 38
37 11
11 37
37 11
10 37
39 10
9 39
38 9
9 38
38 9
8 38
37 8
13 37
36 13
14 36
35 14
18 35
32 18
16 32
32 16
19 32
30 19
19 30
29 19
19 29
30 19
18 30
29 18
17 29
29 17
20 29
25 20
20 25
24 20
21 24
26 21
17 26
27 17
19 27
28 19
18 28
25 18
17 25
25 17
17 25
24 17
17 24
24 17
21 24
22 21
17 22
29 17
16 29
30 16
15 30
33 15
14 33
35 14
13 35
34 13
13 34
33 13
13 33
36 13
12 36
36 12
9 36
36 9
10 36
40 10
7 40
42 7
1 42
43 1
6 43
45 6
3 45
40 3
7 40
37 7
8 37
39 8
6 39
37 6
8 37
36 8
11 36
35 11
7 35
35 7
12 35
34 12
10 34
33 10
10 33
34 10
11 34
29 11
16 29
27 16
16 27
31 16
14 31
30 14
13 30
32 13
12 32
28 12
11 28
28 11
15 28
27 15
10 27
28 10
14 28
26 14
12 26
32 12
7 32
32 7
7 32
38 7
5 38
35 5
6 35
41 6
1 41
40 1
4 40
36 4
4 36
35 4
8 35
34 8
4 34
36 4
2 36
35 2
9 35
31 9
9 31
33 9
5 33
29 5
8 29
31 8
6 31
31 6
4 31
37 4
3 37
34 3
1 34
33 1
3 33
28 3
5 28
32 5
2 32
31 2
7 31
26 7
10 26
27 10
15 27
22 15
13 22
25 13
12 25
30 12
9 30
27 9
8 27
30 8
1 30
31 1
6 31
26 6
19 26
23 19
19 23
23 19
12 23
22 12
20 22
20 20
15 20
20 15
15 20
24 15
11 24
20 11
21 20
19 21
19 19
17 19
17 17
21 17
16 21
11 16
17 11
15 17
11 15
25 11
10 25
24 10
9 24
25 9
7 25
27 7
8 27
23 8
9 23
20 9
10 20
15 10
11 15
22 11
8 22
24 8
6 24
25 6
7 25
22 7
8 22
23 8
6 23
27 6
2 27
27 2
3 27
29 3
4 29
24 4
4 24
26 4
3 26
26 3
2 26
29 2
1 29
23 1
14 23
21 14
14 21
21 14
7 21
21 7
7 21
20 7
13 20
19 13
12 19
19 12
9 19
17 9
14 17
9 14
15 9
18 15
13 18
10 13
10 10
12 10
9 12
17 9
6 17
19 6
7 19
18 7
7 18
20 7
4 20
20 4
5 20
17 5
7 17
10 7
13 10
11 13
11 11
9 11
7 9
15 7
5 15
19 5
4 19
17 4
4 17
15 4
6 15
22 6
3 22
20 3
3 20
24 3
2 24
22 2
2 22
20 2
1 20
18 1
3 18
19 3
2 19
15 2
6 15
14 6
6 14
13 6
5 13
11 5
6 11
10 6
4 10
14 4
1 14
17 1
8 17
8 8
4 8
10 4
5 10
9 5
6 9
6 6
6 6
4 6
6 4
7 6
5 7
4 5
4 4
9 4
3 9
12 3
1 12
12 1
2 12
10 2
1 10
9 1
3 9
8 3
2 8
7 2
1 7
6 1
2 6
4 2
3 4
5 3
21 5

Case #6
48 31
48 48
48 48
34 48
39 34
50 39
43 50
47 43
47 47
49 47
42 49
49 42
40 49
47 40
40 47
39 40
47 39
38 47
49 38
35 49
45 35
33 45
44 33
36 44
47 36
30 47
47 30
42 47
30 42
46 30
38 46
50 38
32 50
50 32
28 50
46 28
28 46
44 28
35 44
39 35
30 39
39 30
28 39
39 28
36 39
36 36
30 36
33 30
35 33
32 35
48 32
26 48
46 26
43 46
24 43
48 24
21 48
48 21
27 48
42 27
24 42
42 24
26 42
46 26
37 46
27 37
41 27
26 41
39 26
29 39
38 29
28 38
35 28
27 35
38 27
31 38
30 31
31 30
49 31
20 49
49 20
14 49
49 14
15 49
45 15
25 45
47 25
21 47
48 21
17 48
42 17
15 42
47 15
21 47
39 21
24 39
46 24
22 46
44 22
22 44
41 22
20 41
39 20
24 39
37 24
40 37
17 40
38 17
21 38
37 21
29 37
29 29
28 29
28 28
29 28
17 29
44 17
14 44
44 14
25 44
36 25
21 36
37 21
34 37
24 34
35 24
23 35
34 23
27 34
28 27
31 28
22 31
27 22
50 27
13 50
48 13
12 48
47 12
11 47
47 11
18 47
41 18
15 41
38 15
15 38
33 15
20 33
46 20
11 46
46 11
9 46
47 9
7 47
47 7
7 47
46 7
12 46
40 12
14 40
37 14
14 37
33 14
19 33
34 19
26 34
24 26
28 24
21 28
27 21
21 27
26 21
21 26
31 21
20 31
27 20
20 27
26 20
21 26
35 21
3 35
49 3
5 49
47 5
8 47
44 8
13 44
41 13
7 41
42 7
8 42
37 8
8 37
34 8
32 34
14 32
36 14
13 36
33 13
23 33
43 23
11 43
48 11
10 48
29 10
11 29
43 11
9 43
40 9
18 40
27 18
25 27
24 25
25 24
22 25
25 22
20 25
24 20
23 24
30 23
15 30
28 15
17 28
23 17
18 23
39 18
12 39
45 12
1 45
48 1
4 48
40 4
1 40
50 1
6 50
41 6
7 41
38 7
12 38
39 12
1 39
39 1
2 39
37 2
1 37
37 1
12 37
31 12
12 31
28 12
8 28
28 8
13 28
21 13
20 21
24 20
22 24
17 22
19 17
20 19
18 20
18 18
17 18
26 17
10 26
31 10
7 31
32 7
5 32
34 5
9 34
29 9
14 29
27 14
8 27
26 8
7 26
23 7
7 23
25 7
5 25
28 5
12 28
30 12
3 30
33 3
2 33
28 2
1 28
29 1
3 29
27 3
1 27
25 1
10 25
24 10
15 24
15 15
14 15
17 14
9 17
22 9
12 22
21 12
10 21
21 10
4 21
21 4
7 21
24 7
8 24
17 8
13 17
14 13
13 14
14 13
13 14
20 13
12 20
20 12
5 20
23 5
3 23
24 3
1 24
26 1
2 26
23 2
11 23
18 11
11 18
14 11
19 14
7 19
14 7
8 14
18 8
12 18
7 12
7 7
18 7
5 18
19 5
1 19
17 1
5 17
14 5
8 14
13 8
6 13
11 6
5 11
5 5
14 5
9 14
8 9
9 8
6 9
12 6
4 12
18 4
2 18
20 2
10 20
2 10
5 2
8 5
6 8
13 6
15 13
3 15
11 3
1 11
11 1
4 11
1 4
5 1
6 5
7 6
31 7

Case #7
some beads may be lost

Case #8
44 18
48 44
49 48
48 49
46 48
43 46
44 43
43 44
45 43
33 45
45 33
37 45
49 37
39 49
48 39
41 48
46 41
31 46
46 31
39 46
43 39
35 43
48 35
36 48
44 36
28 44
42 28
32 42
45 32
41 45
36 41
35 36
36 35
38 36
37 38
49 37
34 49
41 34
34 41
39 34
40 39
28 40
35 28
28 35
35 28
24 35
38 24
37 38
31 37
36 31
34 36
43 34
21 43
35 21
34 35
31 34
28 31
34 28
24 34
31 24
24 31
48 24
16 48
48 16
26 48
45 26
22 45
47 22
16 47
48 16
19 48
45 19
25 45
44 25
22 44
40 22
25 40
49 25
29 49
39 29
26 39
39 26
33 39
29 33
37 29
26 37
36 26
22 36
33 22
30 33
30 30
27 30
42 27
19 42
44 19
13 44
44 13
13 44
48 13
12 48
48 12
17 48
40 17
17 40
38 17
17 38
43 17
13 43
43 13
12 43
47 12
10 47
44 10
9 44
35 9
19 35
31 19
26 31
29 26
28 29
27 28
26 27
28 26
24 28
21 24
24 21
41 24
13 41
49 13
11 49
42 11
18 42
45 18
20 45
39 20
15 39
38 15
18 38
34 18
15 34
36 15
4 36
44 4
6 44
49 6
3 49
36 3
4 36
50 4
2 50
45 2
8 45
42 8
12 42
41 12
32 41
22 32
29 22
18 29
28 18
20 28
33 20
17 33
28 17
14 28
24 14
26 24
22 26
26 22
22 26
21 22
20 21
26 20
17 26
22 17
14 22
37 14
16 37
33 16
9 33
34 9
15 34
40 15
12 40
39 12
10 39
38 10
6 38
43 6
5 43
42 5
11 42
32 11
11 32
41 11
1 41
33 1
10 33
32 10
3 32
30 3
3 30
30 3
12 30
31 12
9 31
28 9
15 28
29 15
4 29
39 4
5 39
38 5
13 38
20 13
18 20
17 18
17 17
27 17
19 27
14 19
24 14
15 24
27 15
4 27
31 4
1 31
34 1
6 34
37 6
2 37
36 2
2 36
30 2
1 30
38 1
25 38
12 25
20 12
13 20
17 13
13 17
21 13
9 21
19 9
16 19
26 16
3 26
24 3
3 24
28 3
7 28
22 7
2 22
23 2
11 23
11 11
18 11
9 18
18 9
10 18
17 10
15 17
15 15
14 15
10 14
17 10
5 17
20 5
7 20
40 7
8 40
19 8
3 19
26 3
4 26
20 4
4 20
20 4
12 20
6 12
18 6
3 18
14 3
15 14
13 15
13 13
5 13
12 5
15 12
1 15
17 1
4 17
12 4
7 12
10 7
16 10
9 16
3 9
12 3
6 12
7 6
10 7
4 10
4 4
13 4
1 13
4 1
21 4
2 21
6 2
3 6
12 3
8 12
5 8
2 5
2 2
1 2
18 1

Case #9
some beads may be lost

Case #10
50 25
49 50
42 49
43 42
44 43
46 44
37 46
50 37
35 50
46 35
41 46
42 41
40 42
40 40
35 40
39 35
34 39
39 34
41 39
44 41
48 44
38 48
44 38
29 44
46 29
47 46
28 47
50 28
36 50
43 36
31 43
40 31
45 40
25 45
47 25
24 47
44 24
17 44
44 17
21 44
47 21
27 47
43 27
32 43
38 32
41 38
33 41
28 33
37 28
32 37
38 32
31 38
31 31
42 31
21 42
43 21
18 43
43 18
36 43
35 36
35 35
30 35
49 30
15 49
46 15
12 46
47 12
10 47
46 10
16 46
44 16
16 44
50 16
20 50
42 20
27 42
41 27
29 41
40 29
29 40
35 29
27 35
48 27
14 48
43 14
25 43
41 25
25 41
38 25
26 38
35 26
25 35
31 25
24 31
33 24
14 33
40 14
23 40
34 23
30 34
25 30
35 25
22 35
34 22
39 34
13 39
43 13
18 43
30 18
28 30
26 28
37 26
21 37
31 21
27 31
32 27
36 32
17 36
34 17
15 34
42 15
20 42
35 20
13 35
40 13
8 40
47 8
4 47
42 4
16 42
36 16
16 36
50 16
2 50
50 2
5 50
49 5
9 49
46 9
2 46
39 2
6 39
40 6
10 40
38 10
19 38
29 19
18 29
32 18
13 32
31 13
15 31
28 15
15 28
15 15
36 15
12 36
35 12
12 35
36 12
9 36
37 9
5 37
38 5
8 38
34 8
10 34
35 10
2 35
31 2
24 31
24 24
25 24
22 25
25 22
16 25
30 16
8 30
36 8
3 36
38 3
11 38
32 11
12 32
28 12
12 28
33 12
14 33
29 14
13 29
25 13
21 25
18 21
21 18
26 21
14 26
21 14
13 21
44 13
1 44
35 1
3 35
29 3
2 29
31 2
10 31
28 10
27 28
12 27
25 12
10 25
28 10
23 28
16 23
18 16
24 18
22 24
17 22
24 17
11 24
27 11
8 27
34 8
5 34
32 5
9 32
43 9
7 43
24 7
10 24
25 10
8 25
25 8
12 25
22 12
10 22
28 10
19 28
17 19
16 17
19 16
12 19
17 12
10 17
22 10
7 22
24 7
8 24
28 8
3 28
32 3
4 32
33 4
6 33
30 6
1 30
26 1
3 26
24 3
6 24
25 6
9 25
21 9
14 21
14 14
15 14
13 15
10 13
13 10
18 13
9 18
23 9
3 23
24 3
6 24
27 6
2 27
23 2
3 23
24 3
5 24
20 5
11 20
19 11
8 19
15 8
11 15
16 11
9 16
21 9
7 21
19 7
2 19
18 2
5 18
15 5
9 15
13 9
9 13
16 9
7 16
13 7
12 13
8 12
12 8
9 12
8 9
17 8
3 17
15 3
5 15
12 5
7 12
13 7
2 13
10 2
7 10
14 7
11 14
3 11
8 3
5 8
9 5
2 9
13 2
1 13
10 1
7 10
5 7
3 5
8 3
2 8
16 2
4 16
1 4
1 1
3 1
5 3
7 5
2 7
25 2

Case #11
some beads may be lost

Case #12
48 37
46 48
43 46
47 43
49 47
44 49
50 44
40 50
47 40
43 47
48 43
44 48
43 44
44 43
49 44
42 49
48 42
39 48
50 39
38 50
48 38
37 48
49 37
36 49
50 36
35 50
50 35
34 50
50 34
33 50
50 33
32 50
50 32
31 50
50 31
26 50
50 26
35 50
48 35
33 48
48 33
36 48
49 36
34 49
49 34
31 49
49 31
45 49
42 45
43 42
42 43
42 42
43 42
41 43
43 41
46 43
35 46
47 35
38 47
43 38
41 43
42 41
44 42
39 44
42 39
37 42
42 37
38 42
44 38
36 44
44 36
40 44
45 40
34 45
46 34
31 46
47 31
33 47
45 33
35 45
44 35
31 44
44 31
34 44
43 34
33 43
45 33
30 45
48 30
26 48
48 26
28 48
47 28
23 47
49 23
29 49
44 29
30 44
46 30
25 46
44 25
23 44
46 23
32 46
43 32
31 43
43 31
27 43
43 27
40 43
41 40
35 41
42 35
39 42
35 39
35 35
42 35
30 42
42 30
27 42
42 27
27 42
42 27
25 42
43 25
24 43
43 24
31 43
39 31
37 39
40 37
38 40
34 38
35 34
40 35
32 40
40 32
33 40
38 33
32 38
38 32
32 38
37 32
33 37
35 33
33 35
41 33
36 41
32 36
35 32
32 35
37 32
31 37
32 31
40 32
26 40
35 26
34 35
33 34
41 33
29 41
41 29
28 41
37 28
28 37
39 28
25 39
48 25
19 48
48 19
21 48
49 21
18 49
48 18
18 48
48 18
17 48
48 17
21 48
47 21
19 47
47 19
17 47
47 17
21 47
45 21
17 45
49 17
16 49
49 16
15 49
49 15
12 49
49 12
16 49
48 16
20 48
46 20
22 46
43 22
21 43
43 21
22 43
44 22
17 44
44 17
20 44
50 20
13 50
48 13
13 48
48 13
8 48
49 8
15 49
44 15
13 44
44 13
23 44
42 23
19 42
42 19
22 42
35 22
26 35
37 26
29 37
34 29
29 34
38 29
25 38
40 25
24 40
38 24
23 38
36 23
28 36
34 28
30 34
28 30
30 28
29 30
29 29
28 29
29 28
32 29
33 32
26 33
33 26
27 33
28 27
32 28
25 32
33 25
26 33
28 26
41 28
19 41
41 19
19 41
41 19
19 41
36 19
24 36
40 24
20 40
43 20
15 43
45 15
14 45
43 14
17 43
42 17
21 42
39 21
20 39
35 20
23 35
33 23
22 33
33 22
22 33
32 22
24 32
24 24
25 24
26 25
29 26
22 29
25 22
26 25
23 26
26 23
27 26
34 27
19 34
40 19
18 40
37 18
21 37
33 21
19 33
46 19
12 46
50 12
9 50
50 9
7 50
48 7
7 48
50 7
11 50
44 11
11 44
46 11
8 46
44 8
12 44
43 12
11 43
47 11
16 47
42 16
12 42
42 12
8 42
46 8
7 46
46 7
10 46
47 10
6 47
46 6
6 46
44 6
7 44
50 7
2 50
47 2
5 47
44 5
10 44
43 10
13 43
40 13
14 40
37 14
17 37
41 17
15 41
36 15
17 36
32 17
19 32
28 19
21 28
25 21
21 25
26 21
31 26
17 31
31 17
18 31
38 18
10 38
41 10
8 41
49 8
1 49
50 1
4 50
44 4
6 44
41 6
6 41
43 6
4 43
42 4
16 42
31 16
18 31
34 18
20 34
26 20
19 26
25 19
22 25
22 22
24 22
21 24
30 21
18 30
30 18
18 30
28 18
18 28
29 18
17 29
33 17
14 33
36 14
13 36
39 13
11 39
36 11
13 36
37 13
8 37
36 8
15 36
34 15
13 34
35 13
10 35
39 10
7 39
48 7
9 48
34 9
11 34
40 11
6 40
48 6
1 48
49 1
3 49
42 3
12 42
45 12
2 45
43 2
2 43
43 2
1 43
40 1
4 40
39 4
6 39
37 6
6 37
37 6
7 37
36 7
6 36
41 6
2 41
39 2
12 39
33 12
15 33
30 15
12 30
29 12
17 29
28 17
15 28
25 15
18 25
24 18
15 24
32 15
11 32
33 11
8 33
33 8
10 33
38 10
2 38
38 2
5 38
37 5
4 37
36 4
7 36
33 7
8 33
